Title,Company,Location,Rating,Date,Salary,Description,Links,Descriptions
"Senior Analyst, Data Management",BCLC,"Vancouver, BC",3.5,PostedPosted 30+ days ago,NaN,Excellent analytical ability and a strong understanding of data concepts such as data modelling and data profiling.,https://ca.indeed.com/rc/clk?jk=7fb6e4808dc2c438&fccid=f8d1881f9cd6792e&vjs=3,"Overview:

BCLC’s two offices are located on the traditional, ancestral and unceded lands of the xʷməθkʷəy̓əm (Musqueam Indian Band), Sḵwx̱wú7mesh (Squamish), and səlilwətaɬ (Tsleil-Waututh) Peoples in Vancouver and the Tk’emlúps te Secwépemc territory, situated within the Secwépemc Nation in Kamloops. We honour and respect the people, the territory, and the land we are part of.

Joining the Social Purpose & Player Experience division at BCLC means you’ll be working with a dedicated group of talented professionals in Communications, Community & Stakeholder Engagement, Public Affairs, Player Health, Customer Support Operations, Business Intelligence, Marketing, CRM and Loyalty and Player Experience. As a Crown Corporation that earns more than a billion dollars in annual profit, BCLC’s commitment to giving funds back to the province is an integral part of our business, but still only one piece of a bigger picture. BCLC is committed to creating a welcoming workplace where everyone feels safe, included, and valued. For us, that means building a team that reflects the diversity of the communities we serve. We all are winners when differences are respected, valued and celebrated.


At BCLC, we exist to generate win-wins for the greater good. We believe everything we do must benefit the well-being of all involved. Through our Social Purpose, we aspire to make sure, in all of our endeavours, transactions and relationships – in the most important sense of life, livelihood, meaning, and well-being – nobody loses, and every person we touch comes out ahead.


Social Purpose is the driving force of our business, our opportunity to create a better world through innovation, engagement, and connection. BCLC aims to provide something unique that not only fills a need, but provides value to the province. Join the team responsible for telling our story, building stakeholder relationships, connecting with communities, and achieving our strategic vision for player-centered sustainable growth.

Job Summary:

The Senior Analyst, Data Management supports the data management practice in the Enterprise Insights (EI) team, leading the definition of data standards, managing the corporate data assets, and maintaining the Data Dictionary/Metadata repository. This role is critical in being the liaison between business users and highly technical team members, defining guidelines and metrics for all master data assets and supporting the development of an Enterprise Data Governance Framework. The Senior Analyst, Data Management supports the enterprise in the understanding of BCLC data sources to improve data maturity and literacy.

Key Accountabilities:
Supports the data management practice in the EI team leading the definition of data standards, managing the corporate data asset, creating and maintaining the Data Dictionary/Metadata repository. Acts as a liaison between EI team, Data Governance team, and other relevant stakeholders in the organization with respect to the data management practice.
Acts as subject matter expert and key point of contact for the business to ensure data requirements are assessed and understood to meet business needs; identifies business rules and data definitions; monitors and measures data quality across lines of business to provide visibility of current status and improvement opportunities; defines data profiling requirements with key stakeholders to ensure data accuracy and integrity.
Develops strategies and plans for supporting the achievement of business and data objectives while working closely with stakeholders.
Supports the successful development and delivery of projects related to Business Intelligence, Advanced Analytics, Data Integration, and Data Warehousing. Acts as a subject matter expert during requirements gathering and a liaison between business users and technical team members. Performs impact analysis, development support for the Enterprise Data Warehousing team, user acceptance testing and production readiness
Collaborates and builds relationships with business clients and key stakeholder groups to determine guidelines for information sharing across the enterprise and external partners and to establish the governance principles reflective of the business’ needs; advises key stakeholders to assist with their need for governance, data stewardship and data ownership.
Assists in defining guidelines and metrics for all master data parameters, and collaborates with technical and non-technical teams to build and maintain a strong data governance framework, guidelines and best practices.
Leads data assessments to identify gaps and maturity opportunities.
Leads data management best practices including leading the development and maintenance of best data management practices within the EI team; fostering an organizational culture that recognizes and promotes best data management practices; supporting and mentoring other client management and solution delivery team members; and providing feedback to management related to the best tools and methodologies to support the data management practice.
Advises team members on data availability from source systems to the Enterprise Data Warehouse.
Works with relational databases, applications, and executes SQL statements in support of data integration projects and data quality investigations.
Supports the successful development and delivery of projects related to Business Intelligence, Advanced Analytics Data Integration, and Data Warehousing.
Works with the Data Architects to provide input into the Enterprise Data Model in support of Master Data Management and data governance.

Minimum Required Qualifications:
Education and Experience
Degree in Business Admin, Computer Science, or Information Technology;
Certification in Business Analysis is desired;
4-6 year’s related experience in a data engineering, analytics engineering, data governance, or data analytics role
Experience in application development and/or data analysis and governance is required;
Strong experience in business intelligence tools and/or data governance;
Related industry experience would be an asset;
An equivalent combination of education and/or experience may be considered.

Technical Requirements
Experience with Metadata, Data Quality, Data Catalog and Data Governance platforms (e.g. Collibra, Alation, Informatica, Atlan, SAP IS/MDG, IBM MDM)
In-depth understanding of data within one or more of the following business domains: Finance, Supply Chain Management, Marketing or Operations;
SQL/SAS proficiency and database analysis skills;
Word, Excel, Power Point, Visio, and Outlook expertise;
Excellent analytical ability and a strong understanding of data concepts such as data modelling and data profiling
Advanced communication skills, both written and oral with the ability to work in a cross-functional environment with all levels of management and to explain complex information in an effective manner;
Ability to act on own initiative, to exercise sound judgment and to prioritize tasks;
Ability to work with a high degree of accuracy and attention to detail;
Excellent interpersonal , time management multi-tasking and organizational skills;
Excellent conflict resolution and effective mediation and facilitation skills;
Demonstrated ability to proactively identify potential problems and vulnerabilities and apply a structured approach to problem solving;
Ability to manage deadlines, multiple tasks and adapt well to changing priorities;
Self-starter with the ability to learn and adapt quickly.


Additional Information:
Effective November 22, 2021, BCLC requires all employees to be fully vaccinated (as defined by Health Canada). Full vaccination will be required before commencing employment with BCLC unless a legal exemption is obtained.
To build a rich diverse workforce representing the communities which we serve, we welcome applications from people of all colours and cultures, persons with diverse abilities, and members of the 2SLGBTQIA+ community.
BCLC values work life balance and offers remote work options for its employees.
Relocation assistance is available for successful job candidates.
If you are in need of accommodation or special assistance at any step of your application, please send an email with your request to recruitment@bclc.com.
For over more than a decade, we have been recognized as one of BC’s Top Employers – and we are constantly seeking ways to improve our employee and player experience. To learn more about BCLC, please visit:https://corporate.bclc.com/careers/overview.html
Please Note:
This opportunity will remain open until a qualified candidate pool has been established.
Candidates must be legally entitled to work in Canada and be 19 years of age to work at BCLC."
Supply Chain Analyst,Superhairpieces,"Mississauga, ON",NaN,PostedPosted 6 days ago,$20–$22 an hour,"Analyze supply chain performance data and identify areas for improvement.
Strong analytical skills and proficiency in data analysis tools such as Excel.",https://ca.indeed.com/company/New-Frontier-Global-Corp/jobs/Supply-Chain-Analyst-9a622112de16b771?fccid=7a98c5243b7d349c&vjs=3,"Job Summary:
We are looking for a highly organized and detail-oriented Supply Chain Coordinator to join our team. The successful candidate will be responsible for managing and coordinating the movement of goods and materials from suppliers to customers, ensuring timely and efficient delivery. The ideal candidate will have a strong understanding of supply chain management principles and be able to effectively collaborate with cross-functional teams to ensure optimal performance.
Key Responsibilities:
Coordinate the movement of goods and materials from suppliers to customers, ensuring timely and efficient delivery.
Collaborate with suppliers, carriers, and customers to ensure timely delivery and resolve any issues that arise.
Monitor inventory levels and coordinate replenishment orders as needed.
Ensure compliance with all regulatory requirements, including import/export regulations and hazardous material handling.
Analyze supply chain performance data and identify areas for improvement.
Develop and maintain relationships with suppliers and customers.
Participate in cross-functional teams to develop and implement supply chain improvement initiatives.
Manage and maintain accurate records of all supply chain transactions.
Qualifications:
Mandarin speaking required.
Bachelor’s degree in supply chain management, Business Administration, or a related field.
1+ years of experience in supply chain coordination or logistics.
Strong understanding of supply chain management principles and practices.
Excellent communication and collaboration skills.
Strong analytical skills and proficiency in data analysis tools such as Excel.
Experience with import/export regulations and hazardous material handling.
Ability to manage multiple priorities and deadlines in a fast-paced environment.
Detail-oriented and highly organized.
Experience with ERP systems, such as Skuvault is a plus.
Job Type: Full-time
Pay: $20.00-$22.00 per hour
Benefits:
Dental care
Extended health care
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Mississauga, ON: reliably commute or plan to relocate before starting work (required)
Education:
Bachelor's Degree (preferred)
Experience:
supply chain: 1 year (preferred)
supply chain management: 1 year (preferred)
Work Location: In person"
Senior IT Business Analyst (Hybrid),Workplace Safety and Insurance Board,"Toronto, ON",3.8,PostedPosted 10 days ago,NaN,Lead workshops with project teams to explain and gain consensus on business analysis tools and techniques to be used on projects as well as conduct research…,https://ca.indeed.com/rc/clk?jk=bc866042c18caea8&fccid=8e1c9c7d0e54f230&vjs=3,"Provide business analysis expertise for a range of medium to large scale ITC and WSIB projects. Inform organizational strategic direction and initiatives by providing business analysis expertise for business transformation, re-engineering and business improvement initiatives. Build and maintain internal and external stakeholder relationships.
Major Duties & Responsibilities:
I. Lead and conduct business analysis, business process modelling, redesign and systems consulting services related to IT systems development and application maintenance and support by:
Leading complex enterprise wide business and data analysis in order to provide ongoing evaluation of business, informed planning and decision making while engaging with external partners such as Gartner.
Facilitating and leading in-depth workshops to elicit, review and confirm business requirements, business process reengineering, data and workflows, business models, business rules and user interface design.
Translating client business requirements into functional and information documentation, identifying alternative business design options and solutions; ensuring that the solution(s) satisfy all business requirements.
Preparing and presenting project proposals, including financial analysis, cost estimates, terms of reference and cost/benefit studies for each option.
Deploying business analysis techniques to identify relationships and patterns hidden in business process that might reveal areas of improvement within Enterprise, opportunities for targeting program services and process improvements.
Partnering with management on project and technology initiation in order to promote acceptance that will ultimately improve efficiency and performance of the WSIB.
II. Lead design sessions in prototyping new systems for the purpose of enhancing business processes, operations, and information process flow while contributing to the evolution of the ITC and client program areas by:
Identifying and establishing scope and parameters of business analysis in order to define outcome criteria and measure-taking actions, develop and document business rules for conceptual designs and communicate conceptual business models and communicate to developers.
Partnering with Solutions Architects and Enterprise Architects to provide advice and recommendations for the design, development and implementation of new, enhanced or customized systems, processes and applications so as to provide recommendations and options to Senior and Executive management.
Partnering with the Project Manager(s) in the development of business cases, assist the project team through business case objectives, i.e. process change, requirements definition, problem definition, benefit realization, design principles, etc.; lead collection of business case relevant information provided via stakeholder interviews.
Supporting and building consensus with all levels of management in defining business and operational goals by bringing clarity to unit strategies, understanding current process issues; conducting feasibility and business case analyses and making recommendations on business process improvements that may impact the business.
Synthesizing and developing information synopsis from various internal and external clients into discussion and issue papers and/or briefing notes.
III. Lead workshops with project teams to explain and gain consensus on business analysis tools and techniques to be used on projects as well as conduct research related to the use of new and innovative technologies, tools and methods to optimize IT systems and services.
IV. Provide project planning input, leadership and functional expertise for the development, testing and implementation of business systems; deploy and oversee assigned project resources; provide technical expertise, guidance and solutions; solve project issues; provide recommendations to management; identify potential implementation issues and make recommendations to fully address all implementation issues.
V. Provide business analysis guidance and consultation to:
Project Managers as it relates to understanding business analysis artifacts required for each phase of the project lifecycle and estimates for the same.
Business Analysts to ensure continuous improvement and compliance with established methodology and best practices.
VI. Develop specifications and participate in formal procurement, including evaluating bids and participating in selection as a subject matter expert.
VII. Perform other duties as assigned or required.
Job Requirements
Education:
University completion at undergraduate level in computer science, information technology, business administration, commerce, science or social science.
Experience:
Seven years prior experience in business analysis, business process re-engineering and remodelling, and business transformation initiatives.


Our commitment to equity, diversity and inclusion
We respect and value the diversity of our people. We strive to create an environment where employees can be themselves and where our differences are celebrated.
The WSIB is committed to being accessible and inclusive, and following barrier-free and accessible employment practices in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Should you require accommodation through any stage of the recruitment process, please let us know when we contact you and we will work with you to meet your needs.
Disclosing conflicts of interest
As public servants, employees at the WSIB have a responsibility to act in an ethical way at all times to create a respectful workplace and maintain public trust. Job applicants are required to disclose any circumstance that could result in a real, potential or perceived conflict of interest. A conflict of interest is any situation where your private interests may impair or be perceived to impair the decisions you make in your official capacity. This may include: political activity, directorship, other outside employment and certain personal relationships (e.g. with current WSIB employees, customers and/or stakeholders). If you have any questions about conflict of interest obligations and/or how to make a disclosure, please contact the Talent Acquisition Centre at talentacquisitioncentre@wsib.on.ca.
Privacy information

We collect personal information from your resume, application, cover letter and references under the authority of the Workplace Safety and Insurance Act, 1997. The Talent Acquisition Centre and WSIB hiring parties will used this information to assess/validate your qualifications, determine if you meet the requirements of vacant positions and/or gather information relevant for recruitment purposes. If you have questions or concerns regarding the collection and use of your personal information, please contact the WSIB’s Privacy Office at privacy_office@wsib.on.ca. The Privacy Office cannot provide information about the status of your application.
As a precondition of employment, the WSIB requires that prospective candidates undergo a criminal records name check any time before or after they are hired.
To apply for this position, please submit your application by the closing date."
SCADA & Information System Analyst (Water),Region of Waterloo,"Kitchener, ON",3.2,PostedPosted 30+ days ago,NaN,"Ensures SCADA data transfers are complete and accurate, including after loss of communications.
Knowledge of computer networking; operating systems and devices;…",https://ca.indeed.com/rc/clk?jk=a3c3086549f18df9&fccid=cb43ce2ddf90903e&vjs=3,n/a
Business Analyst,Vantix Systems Inc,"Regina, SK+1 location",NaN,PostedPosted 6 days ago,NaN,Demonstrated experience as a practicing Business Analyst working on a diverse portfolio of highly complex data analytics and reporting projects across a variety…,https://ca.indeed.com/rc/clk?jk=c19f1dfc69d603e4&fccid=696ed17e5535043f&vjs=3,"Description
Our Client is seeking one (1) or more Business Analyst(s) to support various projects. These projects may include: changes to business systems, processes and programs; information technology (IT) and infrastructure; and financial and human resources.
The position will be located onsite in Regina, Saskatchewan, Canada. The intended start date for the role is May 1st, 2023.


Skills
Requirements Gathering, Analysis, Documentation, Reporting

Type
Contract

Experience Required/Mandatory Skills
Demonstrated experience eliciting, developing, documenting and managing: current and future state requirements, business process models, use cases, and business rules throughout the lifecycle of a data analytics project.
Demonstrated experience as a practicing Business Analyst working on a diverse portfolio of highly complex data analytics and reporting projects across a variety of sectors.
Demonstrated experience organizing and facilitating multi-stakeholder workshops, meetings and presentations with both technical and business groups.


Nice To Have Skills
Demonstrated experience participating and facilitating business process model discovery and planning workshops and requirements gathering sessions to elicit business and technical requirements with an emphasis of understanding the business priorities.
Demonstrated experience preparing project documents including, but not limited to, testing plans, use cases and user stories based on business processes.
Demonstrated experience effectively analyzing complex problems, situations, practices or procedures.
Demonstrated experience analyzing business requirements and translating into business rules.
Demonstrated experience creating benefits reporting framework and dashboards.
Demonstrated experience working with large, complex and integrated project teams.
Demonstrated ability to gather consensus amongst stakeholders in challenging situations.
Certified Business Analysis Professional (CBAP) certification is considered an asset.
Experience working with Microsoft PowerBI is considered an asset.


Location
Regina/On-Site

Work Environment
1 year with 1 possible 1-year extension

Hourly Rate
Negotiable"
Privacy Analyst,Southlake Regional Health Centre,"Newmarket, ON",3.8,PostedPosted 30+ days ago,NaN,Conducts review of research in relation to privacy compliance and provides strategic guidance with respect to research projects.,https://ca.indeed.com/rc/clk?jk=ed1763835086e87b&fccid=8401873f8952fa63&vjs=3,n/a
Senior Freight Accounts Payable Analyst,Labatt Breweries Canada,"Toronto, ON",3.1,PostedPosted 30 days ago,NaN,"Collect and analyze data and strive for continuous improvements in the department.
Support the logistics team in costing shipments and following up on…",https://ca.indeed.com/rc/clk?jk=3f032b5a9000f8da&fccid=f7045795da27e66f&vjs=3,"Dreaming big is in our DNA. Brewing the world’s most loved beers and creating meaningful experiences is what inspires us. We are owners, empowered to lead real change, deliver on tough challenges, and take accountability for the results. We are looking for talent that shares these values, that is ambitious, bold & resilient. We want talent that is looking for fast career growth, cross-functional experiences, global exposure and robust training & development.
COMPANY:
Founded over 175 years ago, Labatt is one of Canada’s founding businesses and its leading brewer. We are proud of our history and our heritage in Canada, and we remain committed to brewing great-tasting, high-quality beers that have satisfied beer drinkers for generations. Labatt has created exciting experiences with consumers through iconic brands like Budweiser, Bud Light, NÜTRL, Michelob Ultra, Corona, Stella Artois and many more. Through our broad portfolio, we are truly a national brewer, with over 3,600 employees, a portfolio of more than 60 quality beers and beyond, and 10 breweries from coast-to-coast, we are proud to serve Canada and the communities we call home.
Job Responsibilities
Support the logistics team in costing shipments and following up on outstanding items for freight vendors.
Work with PTP team on invoices on hold
Collect and analyze data and strive for continuous improvements in the department
Provide weekly / monthly analysis and reporting of various KPIs, analytics and process optimization to the PTP manager
Determine risks and opportunities for freight cell team
Responsible for measuring monthly compliance and adherence to Freight cell team SLAs
Solve problems and issues raised by the GCC team of PTP
Oversee and test for all updates and change requests to SAP related to ERS
Be the primary approver for freight carriers reconciliations
Qualifications
University Degree required or 3-5 years business experience in accounts payables or accounting
Highly organized with the ability to manage priorities and coordinate multiple projects simultaneously
Good knowledge of all departmental processes
Strong verbal and written communication skills
Solid Computer Skills - Microsoft Excel, Outlook, SAP is a plus
WHY LABATT:
As one of Canada’s Top 100 Employers, Labatt is a place where our people can bring out the best in themselves through a collective purpose of creating A Future With More Cheers. We are always looking to serve up new ways to meet life’s moments, dream big to move our industry forward, and make a meaningful impact in our communities. We believe in brewing up a future that everyone can celebrate and share.
EQUAL OPPORTUNITY EMPLOYER
At Labatt Breweries of Canada, we are an equal opportunities employer and we are committed to maintaining a welcoming, safe, and inclusive environment for every person – regardless of age, race, ethnicity, nationality, sexual orientation, gender identity and expression, religion, neurodivergence, or disability status.
REQUIRE ADDITIONAL ASSISTANCE?
Labatt Breweries of Canada is committed to fair and equitable recruiting practices. Persons with disabilities are encouraged to come forward at any stage of the recruitment process to request accommodations, if needed. Members of our team will consult and create processes that provide individuals with disabilities the best possible recruitment experience.


CONTACT US
Follow us:
Instagram @ labattbreweries
LinkedIn @ Labatt Breweries of Canada"
Mineral Land Data Clean Up Analyst,Mars Energy,"Calgary, AB",NaN,EmployerActive 5 days ago,NaN,"Mineral Land Data Clean Up Analyst required for a 6-month project.
Experience with CS Land and their Public Data Asset Integration Utility program (Well Utility…",https://ca.indeed.com/company/Mars-Energy/jobs/Mineral-Land-Data-Clean-Analyst-d1d58efc001dadc4?fccid=126893140c80ce82&vjs=3,"Mars Energy is a pure-play royalty entity, generating petroleum royalty revenues from properties throughout Western Canada.
Mineral Land Data Clean Up Analyst required for a 6-month project.
Experience with CS Land and their Public Data Asset Integration Utility program (Well Utility) required.
Minimum 5 years land administration experience of Contracts, Minerals (Freehold, Crown and Fee Simple) in Alberta, Saskatchewan, Manitoba, and B.C.
Project:
Verifying, and updating land information on both the Contract and Mineral modules of CS Land. Mars an interest in Units to review so experience in Unit administration would be an asset.
Use CS Land Well Utility to update the CS Well module, reviewing and linking wells to the corresponding Contract and Mineral files and updating production allocations and DOIs for each well.
Job Type: Full-time
Schedule:
8 hour shift
Work Location: In person"
"Senior Data Analyst, Sustainable Investment",Ivanhoe Cambridge,"Montréal, QC",3.8,PostedPosted 30+ days ago,NaN,Extract and prepare data for analysis/reporting and cross-reference various internal data sets for analysis (eg. ESG and financial performance data).,https://ca.indeed.com/rc/clk?jk=171ba20ff8995aa0&fccid=091fa8a66425da0f&vjs=3,"We invest globally and act locally for a sustainable impact in communities
As a global real estate industry leader, our mission is to generate long-term value for our 6 million depositors in Quebec and to have a positive environmental and social impact on both the people who work for us and the businesses that call our properties home. We develop and invest in real estate assets and projects that help enhance the urban fabric of communities in the midst of renewal, and create lifestyles in tune with the changing needs of the occupants of today and tomorrow. Our vision: to invest in a way that maximizes value and sustainability as we bring human-scale developments to the world.
Ivanhoé Cambridge is:
A real estate subsidiary of Caisse de dépôt et placement du Québec, a global investment group (cdpq.com)
C$77 billion in assets in the office, retail, industrial, logistics and residential markets
Strategic investments in a worldwide portfolio over 1,500 properties strong
A diversified, multitalented team committed to creating spaces that bring people together to live, work and play
Office environments designed to foster collaboration and creativity, rooted in a flexible, technology-enabled experience
Digitally connected, sustainable and state-of-the-art: A workspace that meets your expectations
New work spaces that make teamwork easier than ever and spark creativity at every turn
The flexibility and technological tools you need to take your performance to new heights
A barista, snacks and special theme meals, employee lounges and outdoor patios, complete with therapeutic lights to keep you at the top of your game
Tuition and professional development fees reimbursed to empower your career advancement
Time to devote to charitable endeavours so you can leave your personal mark on the communities where we work and invest
A stimulating, supportive and inclusive environment where your health, safety and well-being are our top priorities
Pursue an exciting career in an industry in the midst of transformation!
At Ivanhoé Cambridge, stewardship investing plays a pivotal role in our strategic plan. The Sustainable Investment team works closely with internal teams, partners and stakeholders to ensure we are putting programs in place to achieve our ESG goals.
As we continue to prioritize these ambitions and have a positive impact on the broader real estate industry, you will strengthen and advance the Company’s Sustainable Investment practices and skills, particularly as it relates to the collection, management, and analysis of our ESG data. This role will report to the Director, Decarbonization and Climate Change.
The role will focus on supporting the organization’s ESG data needs and associated tasks, which fundamentally includes four key functions:
Collect: Ownership and oversight of ongoing ESG data collection processes, the role requires frequent and close collaboration with internal IT team to ensure that existing systems continue to evolve and that new systems are developed, where required, all with the primary goal of ensuring reliable and consistent collection of ESG data across the organisation and portfolio.
Analyze: Work with internal/external tools/programs to validate data quality and to perform data analysis and summaries suitable for the Sustainable Investment and regional teams to use as key elements of the ongoing development of critical Sustainable Investment strategies
Report: Ensure data is available in required format, with required frequency, to allow for adequate ESG-related reporting throughout the year both internally and externally
Support: Provide additional assistance to team and other IC stakeholders, as required.
Further breakdown of tasks includes, but is not limited, to the following:
Support IT with integration of data collection/aggregation tool and be the day-to-day link between Sustainable Investment and IT teams
Prepare and verify ESG data sets for tasks such as IC’s annual activity report, GRESB survey and internal Power BI dashboards
Extract and prepare data for analysis/reporting and cross-reference various internal data sets for analysis (eg. ESG and financial performance data)
Research, prepare and analyse ESG benchmark data
Perform adhoc requests that often involve preparing excel spreadsheet/analysis on ESG data for certain assets or portfolios for internal or external use
Calculate ESG ratings for assets/portfolios/partners and analyse results
Obtain ESG data/reports on IC’s fund investments through our GRESB investor member portal and analyse results.
Support the regional Sustainable Investment managers with ESG investment reviews, including the estimation of critical ESG KPI’s (i.e. carbon emissions, climate risk, social impact, affordability)
Work with consultants to finalize annual carbon reporting and work with team to develop internal/external reporting on progress towards net-zero goals
Work with consultant to support annual limited assurance process
The toolbox we are looking for !
Bachelor’s degree in data management/science or equivalent (Master’s degree would be an asset);
3 to 5 years of relevant experience;
Excellent capabilities with Excel, Power BI (familiarity with Excel VBA is desirable), knowledge of SQL would be a strong asset;
Excellent understanding of technology implementations processes. Knowledge of Agile Methodologies would be an asset;
Ability to provide IC with additional business intelligence through advanced data analytics and forecasting;
Ability to derive strategic insights from complex data sets;
Ability to explain complex outcomes in ways that are simple to understand and use;
Be passionate about ESG and show keen interest in developing ways for ESG data insights to assist in informing our sustainable investment strategy;
Curious to explore opportunities to leverage ESG data as a value creation lever;
Ability to come up with creative and innovative solutions aligning sustainable investment goals with IC’s business objectives;
Excellent interpersonal skills;
Ability to work on complex topics where varying levels of ambiguity are frequently present;
Capable of working in an environment where expectations for delivery of required outcomes is paramount;
Solid communication skills in French and English, both written and verbal. As the only expert of the team, you will have to be able to collaborate with different national and international teams.
You’re in the right place!
Our people are the heart of our organization. Come be part of our team and enjoy the perks of a flexible schedule, remote work arrangements, and flex days in addition to annual vacation leave — all to help you balance your personal and work obligations, have time to get involved in your community and maintain a healthy lifestyle. You will also be entitled to a comprehensive array of healthcare benefits and take advantage of a myriad of opportunities to grow and learn.
Diversity, equity and inclusion: Our main priorities
At Ivanhoé Cambridge, we are proud to champion the principles of diversity, equity and inclusion — which can be seen and felt in everything we do and everything we strive for. As a leading player in the global real estate ecosystem, we are committed to harnessing opportunities to create inclusive, community-centric spaces and forge a just, forward-looking future where our industry and our talent are supported and nurtured.

We firmly believe that diversity, equity and inclusion are the forces propelling innovation. In order to ensure we can have a positive impact on the communities where we live and work and where our investments are based, we are dedicated to creating a stimulating environment where everyone can aspire to and achieve excellence. Ask us about any accommodations you might require to ensure the recruiting process is a fair and equitable process for all. Note that any such accommodations will be treated with the utmost confidentiality."
"Analyst, Health Systems",First Nations Health Authority,"Metro Vancouver Regional District, BC",3.1,PostedPosted 6 days ago,NaN,"Experience in data collection, data analysis and presentation of data to a wide variety of audiences (normally acquired over 2 years).",https://ca.indeed.com/rc/clk?jk=f99d0b8e3a02324e&fccid=1468513ebc10d6b8&vjs=3,"FNHA Overview

About us
The First Nations Health Authority is a diverse and transformational health organization of professional, innovative, and dedicated team members and leaders.
The first of its kind in Canada, FNHA works as a health-and-wellness partner with BC First Nations to support self-determination and decision-making to improve health outcomes.

Position Summary

Title: Health Systems Analyst
Contract: Permanent
Hours: Full-time
Location: Sinclair
About the role
As Health Systems Analyst manages the ImmsBC program’s Quality Assurance process, designs and reviews tracking tools. You will reports on the program’s usage to senior management and other stakeholders. You will engage with communities not yet participating in the program. You will onboard communities and various staff to effectively use the ImmsBC Health Management System. You will provide support regarding requests and inquiries.

Qualifications

About you
To be successful in this role you will have/be –
Bachelor’s Degree in Health Sciences or Social Sciences
An understanding and/or completion of courses in advanced statistics, or biostatistics, public-health analysis or evidence-based methods
You may have;
4-6 years of related experience
Experience in data collection, data analysis and presentation of data to a wide variety of audiences (normally acquired over 2 years)
Experience in developing proposals and briefing packages
Experience utilizing a variety of office tools including Microsoft Office suite and SharePoint
Experience with Indigenous Surveillance/Research Methods is an asset
Ability to use computer applications such as Microsoft Word, Excel, PowerPoint, Outlook and Sharepoint.
Knowledge of data entry, manipulation, and retrieval techniques using a variety of automated systems and software.
Knowledge of existing provincial data systems, and platforms including: Panorama, PHENIX, PHIX

Closing Statement

Working at FNHA
As a member of the team, you will have access to a wide range of employee benefits from day one, including:
Municipal Pension plan with an employer contribution of 9.31% (after 3 months)
3 weeks’ vacation, plus 5 personal days, 1 volunteer day, and 14 public holidays including National Indigenous People’s Day and National Day of Truth and Reconciliation
Access to group health benefits and a Health Care Spending Account through Canada Life on day 1 of employment
And more!
The First Nations Health Authority is committed to respecting diversity within our workforce; preference will be given to individuals with Indigenous ancestry (First Nations, Inuit, Métis).
Leading with culture, all FNHA employees complete San’yas Indigenous Cultural Safety Training. We support our family to be leaders in wellness and all staff members develop a yearly wellness plan as part of their performance partnership and goal-setting.
As a health and wellness organization, the FNHA has aligned with the Provincial Public Health Order released on October 14, 2021. We have a mandatory COVID-19 vaccination policy for all employees at First Nations Health Authority. This policy requires all employees to be fully vaccinated against COVID-19. If selected for employment, you will be required to provide proof of vaccination by providing a copy of your BC Vaccination Card Passport with the QR code.
How to apply
If this sound likes the opportunity for you, please click on the 'Apply for Job' button below.
Closing date: April 6 (at 23:59)
For more information about us, please visit: www.fnha.ca/about/work-with-us
If you have any inquiries or issues please contact FNHA Recruitment at careers@fnha.ca
Follow us at: Facebook Twitter LinkedIn Instagram"
